permno,ticker
22346,TGVC
19936,RBAC
14134,CINR
18168,BSDE
78869,HEV
54244,BDL
14807,IRMD
90957,NXTM
22076,TRTL
87532,RDI
16165,DWLV
89953,HIH
77599,ADAT
21855,JUGG
89828,UVSP
86578,LACO
53373,SIEB
87381,HKTV
22191,BTF
78054,RIMG
90561,NASB
17802,STXB
85725,CFFI
19648,OLB
75811,MTU
91800,RAK
25328,BLMZ
16645,SQZZ
86211,MSTR
90881,CVN
90850,STN
91442,NFO
14503,CBSO
25353,QMMM
89258,PRU
89787,PSW
90328,LQU
92218,TSSI
23012,CLIN
87484,WSTM
14704,INFO
86291,SKYE
14093,BYU
17090,LGC
14829,SBCP
92418,RSU
87471,REPX
19251,PASG
18051,MESA
69331,ECF
51625,SCI
13652,RGLS
13748,TPH
92601,NOG
22317,IXAQ
86457,XLK
43350,SWK
90270,OTD
34228,NHHC
90366,STON
22089,DTC
15164,PN
82810,NGI
89014,COL
17134,NRXP
12023,OINK
92500,PIE
15222,LBIO
17272,TORC
20867,MDAI
87841,NDZ
20630,SNSE
15506,CYRX
93382,NOR
14035,PSXP
12043,KH
24291,VSME
92231,WATG
91852,EEN
14993,AXPW
14527,NORD
79365,RINO
25577,MYCF
91306,PLM
14143,VMEM
76714,RHB
80357,GPIC
50614,FUR
21084,PANA
89056,HDB
86549,FEV
21325,PLL
75828,EA
22211,ISO
79866,RDUS
90286,MSSR
91217,EOE
19338,SKLZ
12084,NXPI
91728,RVR
21033,DHBC
92105,BZ
16857,CTXR
74529,TVIN
15120,AVOL
15466,MCRN
29867,PYX
76279,MTRX
81212,ESIC
90791,TIS
24821,IROH
23015,ELBM
23316,GCT
35203,RMI
89731,LEN
80412,ADC
79248,ARGN
16631,GSHT
15833,AVTX
16738,AM
90121,MFIC
19946,AVO
14826,ENLV
22610,VCSA
69446,VGZ
61399,LOW
15862,GSM
90098,CYCC
91204,POR
18664,NXTC
90983,PEBK
75629,MCX
82747,ASTC
11903,NOIZ
22296,DERM
34067,MXM
75646,AGN
22529,BCSA
57410,CNN
91007,EMG
93315,EXL
52476,EFX
15279,CSAL
23420,MSFU
92299,BFED
82649,MATV
79375,CYDS
77149,BNA
32651,HL
13965,OHRP
82552,ASFI
18549,LVOX
22543,DPCS
59192,CB
14229,LEAF
18678,YJ
89845,GRS
16182,PI
12446,GLBR
14567,GRUB
91342,DXJ
81784,TK
75157,LEO
16543,VREX
88564,RTIX
77855,FBN
18469,EWJE
91415,HDP
82702,AMRX
74836,TCCO
92017,RAF
23722,ETAO
82699,RDEN
19583,IVZ
18417,WINC
25659,HTLM
13159,CNDO
93222,SYA
26010,NEHC
15482,UNVR
90257,JKD
56822,NWLI
20282,BREZ
14594,CORI
14184,CXP
91870,HHA
85211,SYNM
92705,RFN
79006,SCON
19654,SNOW
10606,WTS
20824,JOFF
12587,WMGI
89443,WHG
14718,DSE
86341,AU
24702,IBIT
13994,GGM
19592,ML
90987,BWP
17877,ECOR
13596,CMGE
13196,RLGT
20970,TSPQ
22505,PHYT
13296,BWG
15402,LILAK
89968,PIPR
79558,BFS
22500,ACDI
15510,KPRX
21000,PDOT
90305,EXR
13705,PLPM
16829,RDFN
41930,HSVLY
18428,DOW
89370,MRN
10375,TCF
91470,OFSI
13261,BV
91817,CPBR
